Equipment_type/Model;Program;Product;Model;Standard;PN;SN;PNSOFT;Statut;CMS;Localisation;Date_crea;Date_Modif;Comments;Current_state;Previous_state;
SATCOM;LR;BSU;CMA 2102 BSU;-;100-602199-002;1193;null;OK;null;CNS SA/LR A664 shelf 8020705;null;null;null;null;null;
SATCOM;LR;D/LNA;D/LNA Type F;?;5044-89-99;0P000044;null;OK;null;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;SA;D/LNA;D/LNA Type D;?;P100-602200-003L;6130786;null;OK;69 15 220 945;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;SA;D/LNA;D/LNA Type D;?;P100-602200-003L;6130785;null;OK;69 15 220 495;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;LR;D/LNA;D/LNA Type A;null;P100-602200-001  WGE-0090-00 ;COM9500056 ;null;OK;null;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;LR;D/LNA;D/LNA;?;7516193-902;3040259;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;D/LNA;D/LNA;?;P100-602200-004LA;8301307;null;OK;63 15 220 795;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;LR;D/LNA;D/LNA;?;P100-602200-004LA;8301308;null;OK;63 15 220 795;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;A380;D/LNA;D/LNA Type D;null;P100-602200-003L;6151310;null;OK;6L 010 90 795;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;A380;D/LNA;D/LNA Type F;null;P100-602200-004LA;8301309;null;OK;6L 019 739 95;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;null;SDU;SDU JetSat ;?;3433-500-001A00;3433-500-001-0003;null;OK;null;CNS SA/LR A664 SATCOM AVIONICS BAY;null;null;null;null;null;
SATCOM;null;IGA;IGA-2000;?;822-1369-001;213;null;OK;null;Nuisance room A660 shelf 8009800;null;null;null;null;null;
SATCOM;A380;?;D/LNA TO HGA COAXIAL WIRE #44RV like ;-;500-25626-02;E75401;null;OK;null;CNS SA/LR A664 shelf 8018170   coax closet;null;null;null;null;null;
SATCOM;A350;?;D/LNA TO HGA COAXIAL WIRE;-;500-25626-02;E75400;null;OK;null;Technical room C668 shelf 8009812;null;null;null;null;null;
SATCOM;A350;?;D/LNA TO HPA COAXIAL WIRE;-;500-25684-02;E75403;null;OK;null;Technical room C668 shelf 8009812;null;null;null;null;null;
SATCOM;A350;?;LAB RF feeder 1m cable;-;6054-89-99;605489-P03;null;OK;6L02868395;CNS SA/LR A664 shelf 8018170   coax closet;null;null;null;null;null;
SATCOM;SA/LR;SDU;SRT-2000-3;?;822-1405-401;135470;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;SDU;SRT-2000-6;?;822-1349-401;137836;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;SDU;SDU906;?;822-0314-301;L4DX;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;SDU;SDU906;?;822-0314-301;93FC;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;SDU;SDU906;?;822-0314-301;L0GV;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;SDU;SDU906;?;822-0314-301;L4FK;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;RFU;RFU900;?;622-8849-100L1;111883;null;OK;63 110 212 95;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;RFU;RFU900;?;622-8849-100;140314;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;RFU;RFU900;?;622-8849-100;140335;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;RFU;RFU900;?;622-8849-100;282;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;HPA;HPA-901;?;622-9252;6;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA/LR;HPA;HPA-901A;?;822-0953-002L1;137740;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;SDU;SD-600;?;7516100-20050;96050887;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;SDU;SD-600;?;7516100-20050R;98081768;null;OK;63385053-50;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;SDU;SD-600;?;7516100-20060R;93030110;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;SDU;SD-600;?;7516100-20050;97021279;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;RFU;RFU-600;?;7516240-20050;96050662;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;RFU;RFU-600;?;7516240-20050R;98091159;null;OK;633085054-50;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;RFU;RFU-600;?;7516240-20050;96070684;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;RFU;RFU-600;?;7516240-20060R;93010101;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;HPA;HPA-600;?;7516250-10;93010101;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;HPA;HPA-600;?;7516250-20050;96070905;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;HPA;HPA-600;?;7516250-20050R;98101524;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR/A380;HPA;HPA 600;L1 1;7516250-20050LA;3092693;null;OK;6L 000 847 95;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;LR;HPA;HPA 600;L1 1;7516250-20050LA;3082679;null;OK;6L 000 847 95;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;A380;HPA;HPA 600;L1 1;7516250-20250LA;3082690;null;OK;6L 000 847 95;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;;SDU;SDU JetSat ;?;3433-500-001A00;3433-500-0000111;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA;HLD;HLD JetSat ;null;3433-300-000A00;1;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA;SDU;SDU;?;502-2001-01;15;null;OK;null;Quarantine Zone TBC A165 ;null;null;null;null;null;
SATCOM;SA;HGA;HGA Antenna SatLite Compact;?;100-602546-000LB;7062111;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;SA;HGA;HGA Antenna SatLite Compact;?;P100-602546-000LA;063-81-606;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;LR;HGA;HGA CMA-2102;;100-602198-001;292;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;LR;HGA;HGA CMA-2102 SB;;P100-602198-003LC;8301060;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;A380;HGA;HGA CMA-2102 SB;;P100-602198-003LC;8252137;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;A380;HGA;HGA LW;null;P100-602198-002L;3280790;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;LR;HGA;HGA 7001;?;4141-89-99;414189-02;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;A400M;HGA;HGA;null;677A0173-002_REV1 2;0P000017;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;A350;HGA;HGA;null;822-292-3050FC010;0P000291;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;A350;HGA;HGA;null;822-292-3050FC010;0P000246;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;A380;HGA;HGA;null;P100-602198-003LA;8050947;null;OK;null;Quarantine Zone A165 ;null;null;null;null;null;
SATCOM;SA/LR;SDU;SRT-2100-3;?;822-2023-401FC020;146755;null;sent back to rockwell;null;sent back to rockwell;null;null;null;null;null;
SATCOM;SA/LR;HST;HST-2110;?;822-2231-040;1WR1W;null;destruction;null;destruction;null;null;null;null;null;
SATCOM;LR;SDU;SDU-906-6;AFIS project ?;822-0314-151;9KCD;null;destruction;63 110 295 53;destruction;null;null;null;null;null;
SATCOM;LR;SDU;SDU-906;?;822-0314-303;70;null;destruction;null;destruction;null;null;null;null;null;
SATCOM;A350;HGA;HGA-2100C;S1 FAL;822-2923-050;16PR04;null;TBC Located on M24 roof;null;M24 - roof;null;null;null;null;null;
SATCOM;A380;D/LNA;D/LNA Type F;?;P100-602200-004LA;03081075 logged ;null;TBC Located on M24 roof;null;M24 - roof;null;null;null;null;null;
SATCOM;A380;HGA;HGA CMA-2102 SB;?;100-602198-003LB;08301059 logged ;null;TBC Located on M24 roof;null;M24 - roof;null;null;null;null;null;
SATCOM;LR;HGA;HGA 7001;?;4141-89-99;414189-01;null;TBC Located on M24 roof;null;M24 - roof;null;null;null;null;null;
SATCOM;null;Antenna IRIDIUM ;null;L1;009E5733-95;null;null;TBC Located on M24 roof;null;M24 - roof;null;null;null;null;null;
SATCOM;SA;IGA JETSAT ;null;null;3433-105-000A00 logged ;8 logged ;null;TBC Located on M24 roof;null;M24 - roof ?;null;null;null;null;null;
SATCOM;SA/LR;HGA;HGA 7001;null;4141-89-99;0P000159 logged ;null;TBC Located on M24 roof;null;Cobham - retrofit as logged M24 - roof ? Pas ds caisse sous motion;null;null;null;null;null;
SATCOM;LR;D/LNA;D/LNA Type F;null;5044-89-99 logged ;? logged ;null;TBC Located on M24 roof;null;?;null;null;null;null;null;
SATCOM;LR;D/LNA;D/LNA Type F;?;P100-602200-004LA;8301307 logged ;null;TBC Located on M24 roof;null;M24 - roof;null;null;null;null;null;
SATCOM;LR;HGA;HGA CMA-2102 SB;?;100-602198-003LB;08301058 logged ;null;TBC Located on M24 roof;null;M24 - roof;null;null;null;null;null;
SATCOM;SA;Antenna SatLite ;Antenna SatLite;?;100-602546-000LA logged ;06300282 logged ;null;TBC Located on M24 roof;null;M24 - roof ?;null;null;null;null;null;
SATCOM;LR;D/LNA;DLNA Modified Type A;;P100-602200-002L;LA0207023;null;TBC Located on M24 roof;6L 000 89 795;Nuisance room ?;null;null;null;null;null;
SATCOM;LR;HGA;HGA CMA-2102 SB;;P100-602198-003LC logged ;08301060 logged ;null;TBC Located on M24 roof;null;?;null;null;null;null;null;
SATCOM;A400M;D/LNA;D/LNA Type F;?;5044-89-99;null;null;TBC Located on M24 roof;null;M24 - roof ?;null;null;null;null;null;
SATCOM;A400M;HGA;HGA 7001;?;4141-89-99 logged ;414189-62 logged ;null;TBC Located on M24 roof;null;M24 - roof ?;null;null;null;null;null;
SATCOM;A380;D/LNA;D/LNA Type F;null;P100-602200-004LA logged ;08301310 logged ;null;TBC Located on M24 roof;null;AiGe Finkenwerder ? loaning ;null;null;null;null;null;
SATCOM;null;D/LNA;null;null;WGE-0090-00;COM9500046;null;TBC Located on M24 roof;null;?;null;null;null;null;null;
SATCOM;SA;SDU SRT2100 ;null;-;822-1785-001FC010 logged ;146854 logged ;null;Equipment not found;null;Rockwell Collins - retrofit Plan A L2 as logged;null;null;null;null;null;
SATCOM;SA;HST SRT2100 ;null;-;822-2232-020 logged ;1JPFH logged ;null;Equipment not found;null;Rockwell Collins - retrofit Plan A L2 as logged;null;null;null;null;null;
SATCOM;SA;HST SRT2100 ;null;-;822-2232-020 logged ;1WR2G logged ;null;Equipment not found;null;Rockwell Collins - retrofit Plan A L2 as logged;null;null;null;null;null;
SATCOM;LR;HST SRT2100 ;null;null;822-2232-040F7 logged ;16PH34 logged ;null;Equipment not found;null;?;null;null;null;null;null;
SATCOM;LR;HCM SRT2100 ;null;null;822-2248-001FC010 logged ;16PH32 logged ;null;Equipment not found;null;Rockwell Collins - EPR 51 as logged;null;null;null;null;null;
SATCOM;LR;HCM SRT2100 ;null;null;822-2248-001FC010 logged ;16Y8T0 logged ;null;Equipment not found;null;?;null;null;null;null;null;
SATCOM;LR;SDU SRT2100 ;null;null;822-1785-401FC020 logged ;169799 logged ;null;Equipment not found;null;AiGe Finkenwerder ?;null;null;null;null;null;
SATCOM;LR;HST SRT2100 ;null;null;822-2232-040F5 logged ;16Y8VG logged ;null;Equipment not found;null;AiGe Finkenwerder ?;null;null;null;null;null;
SATCOM;LR;HCM SRT2100 ;null;null;822-2248-001FC010 logged ;16Y8N5 logged ;null;Equipment not found;null;AiGe Finkenwerder ?;null;null;null;null;null;
SATCOM;LR;HPA;HP-720;null;7520000-20140LB logged ;31863644 logged ;null;Equipment not found;null;?;null;null;null;null;null;
SATCOM;A380;HPA;HP-720;null;7520000-20140LB logged ;31787513 logged ;null;Equipment not found;null;?;null;null;null;null;null;
SATCOM;SA/LR;SCM;AFIRS 228 CM;null;502-3001-01;44;null;Equipment not found;null;?;null;null;null;null;null;
SATCOM;null;Splitter;null;null;277-0906-130;null;null;Equipment not found;null;?;null;null;null;null;null;
SATCOM;SA/LR;CSDU;SDU-5045;L0;405045-00000A;81211871;null;null;null;Nuisance room A660 SATCOM AVIONICS BAY;null;null;null;null;null;
SATCOM;SA/LR;CSDU;SDU-5045;L0;405045-00000A;81183630;null;null;null;Sent back to Cobham for replacement;null;null;null;null;null;
SATCOM;SA/LR;SCM;SCM-5055A;L0;405055-00000A;81185288;null;null;null;Storage room C666A shelf 8009800;null;null;null;null;null;
SATCOM;SA/LR;SCM;SCM-5055A;L0;405055-00000A;81185289;null;null;null;Nuisance room A660 SATCOM AVIONICS BAY;null;null;null;null;null;
SATCOM;SA/LR;HELGA;LGA-5005;L0;405005-00000B;81213102;null;null;null;M24 - roof;null;null;null;null;null;
SATCOM;SA/LR;HELGA;LGA-5005;L0;405005-00000B;81188697;null;null;null;Sent back to Cobham for replacement;null;null;null;null;null;
